contract_hash,original_size,success,optimized_size,size_diff,size_diff_percent
7915019aedb473cf7a2d9de399385c89f006ea28e3189015660c784b8accbf84,20688,true,14907,-5781,-27.943735498839906
5476efd14f2edbaff780565fed0c33612d503daa2fa15efb21fd88ca1389a592,13222,true,9556,-3666,-27.726516412040535
ce52a2af6678a2aa00d44220db604f4474bab3b78c285a52aebc77b13ba1898a,7557,true,5506,-2051,-27.140399629482598
5b5708c1a6caca37f817d2af32832b05754d9871ea90f925288dbf2e66042f27,14282,true,10407,-3875,-27.13205433412687
b6ce504930f43aac1af31b80078a65f83824c036311309fd8f99683946a16108,21366,true,15571,-5795,-27.122531124216042
bb6e6a3279f34b87fa7e9b507a61ccbffaee86e98fb9982052b394d1fe8c3e8e,9799,true,7147,-2652,-27.063986121032755
e3ecee9188f1b28de3f7395a27ba803821bb21831965def0d45f6d930290fa37,5118,true,3737,-1381,-26.983196561156703
283b09bef8e8b2b118311acf724d42613d3416b40846aacf1433051713f95bd2,36196,true,26600,-9596,-26.511216709028623
02e0dbf89e9429b340c3f6b0cde241c4b229d50f1aa55ab7da231ae8c918421c,21653,true,15914,-5739,-26.504410474299174
9f114acbfca10fe7c4ecaebeb9df3d37386726079add211f4abe80ea2771c7c3,21703,true,15957,-5746,-26.475602451274018
58efcad74b3c8a190ebc6c3e18daa0b7ee2a268bd2331fd2a4c954fbe52951cd,28898,true,21296,-7602,-26.306318776385908
67f18d2e5acbc1d316fd16698a887cb732386c6a8d606638fda3f840759f4823,15682,true,11558,-4124,-26.29766611401607
7db27bf89b058b808d5612b71ad5e2dfd17e19dbf97150ef2e2321f4e56acc2f,8892,true,6558,-2334,-26.24831309041835
384c9419b900f5294a71e1025b5da2a867a5313c24798130dae18ac94b8868a0,7299,true,5412,-1887,-25.85285655569256
8aa6278bc42ef5b60260a500c5c243a1309f2de7ce9a2c31131a771a0317815b,38327,true,28475,-9852,-25.705116497508286
50456170a5bc40d4c129ada63f6ef4d90e20a1cf38a54eec34b7cc7ed3986048,8765,true,6516,-2249,-25.65887050770108
556a300afee794c559573f4d95dd858944e3036e7cea14487830f27bec601df2,25956,true,19312,-6644,-25.59716443211589
ee870989b3d1a0dd842e916014b1bfd03be84087da0f879d5ac8aa95ed5ed89d,12847,true,9561,-3286,-25.577955943021717
9fa1281e281d92a9e5b0901c405838dad8dc0cf687167e6454904b540ee920b6,7630,true,5703,-1927,-25.25557011795544
953079207c92828263dce445673bd2e41987cc0ed7acde0304b1a2d0f3c2a702,8775,true,6562,-2213,-25.21937321937322
2f298d496e00f77d3447275bc15ce44ddfe9b9295d4be9409ab140d123454819,6555,true,4905,-1650,-25.171624713958813
de1fbf541604672701b9fdaa3dc44183e61ee1c8078fc966138e9aac181ca408,7448,true,5591,-1857,-24.932867883995705
73e376524114583300199a27c5c79bbfc287d878967aa1c73033605ece31ad77,5871,true,4433,-1438,-24.49327201498893
0f7684ef49d12cd27e730eed1e3bf4b9911524da20e9a591fdfb6f549c7cf394,7529,true,5689,-1840,-24.438836498871034
4a68ea777817e31433a248d413e64bad581c1e547fe5efe5e42d96ed21cb2b69,7121,true,5391,-1730,-24.294340682488414
e5c4e3ddc32b15565c4aff1d93e3de075bf56cb391f3084f4367815c2d5acb94,5872,true,4449,-1423,-24.233651226158038
93684bf8c8ead19b7c1505f739c43a27a1a321affe7c1b6f993878ed51545bc7,5870,true,4454,-1416,-24.12265758091993
a4a966ccf743e25d4f930252164e27ed26a7908c48bdaf21079a713010b27114,8460,true,6455,-2005,-23.699763593380617
c4a8b0b2b36d264d3e7fed8af5dc5aa581b8ab4492b5f305971595a95d44e751,7894,true,6039,-1855,-23.49885989359007
4e7dddce3cd8dcc11d3b3af2f12776112622a0b7f20627016a6afe98dbbaf1ec,13123,true,10056,-3067,-23.37118037034215
